"SiteUrl","SpecificVersionSetting","MajorVersionCount","MinorVersionCount","SizeSavedMB"
"https://groverale.sharepoint.com/sites/permission-pg","","","","0"
"https://groverale.sharepoint.com/sites/permission-pg2","","","",""
"https://groverale.sharepoint.com/sites/home","True","500","0","0"
"https://groverale.sharepoint.com/sites/versionTest","True","25","0","0"
